[2024-07-05 17:27:33,207] 111	T_sample 23.90	T_update 7.40	ETA 16:24:56	expert_R_avg 0.2986 [0.2991,0.3215,0.2226,0.3039,0.9234]	expert_R_range (0.0368, 0.9353)	eps_len 64.06
[2024-07-05 17:28:04,615] 112	T_sample 23.85	T_update 7.46	ETA 16:24:52	expert_R_avg 0.2992 [0.2995,0.3214,0.2235,0.3043,0.9232]	expert_R_range (0.0368, 0.9353)	eps_len 64.45
[2024-07-05 17:28:36,273] 113	T_sample 23.97	T_update 7.59	ETA 16:32:07	expert_R_avg 0.2997 [0.3000,0.3213,0.2244,0.3045,0.9231]	expert_R_range (0.0368, 0.9353)	eps_len 64.83
[2024-07-05 17:29:07,823] 114	T_sample 23.97	T_update 7.47	ETA 16:27:49	expert_R_avg 0.3003 [0.3005,0.3213,0.2253,0.3049,0.9229]	expert_R_range (0.0368, 0.9353)	eps_len 65.22
[2024-07-05 17:29:39,228] 115	T_sample 23.88	T_update 7.43	ETA 16:23:02	expert_R_avg 0.3009 [0.3009,0.3212,0.2263,0.3052,0.9228]	expert_R_range (0.0368, 0.9353)	eps_len 65.60
[2024-07-05 17:30:10,777] 116	T_sample 24.06	T_update 7.39	ETA 16:27:01	expert_R_avg 0.3015 [0.3014,0.3211,0.2272,0.3056,0.9226]	expert_R_range (0.0368, 0.9353)	eps_len 65.99
[2024-07-05 17:30:42,927] 117	T_sample 24.32	T_update 7.73	ETA 16:45:10	expert_R_avg 0.3020 [0.3018,0.3210,0.2281,0.3060,0.9225]	expert_R_range (0.0368, 0.9353)	eps_len 66.37
[2024-07-05 17:31:16,318] 118	T_sample 26.06	T_update 7.23	ETA 17:23:30	expert_R_avg 0.3026 [0.3023,0.3210,0.2291,0.3064,0.9223]	expert_R_range (0.0368, 0.9353)	eps_len 66.75
[2024-07-05 17:31:47,447] 119	T_sample 23.69	T_update 7.33	ETA 16:12:12	expert_R_avg 0.3032 [0.3027,0.3209,0.2300,0.3068,0.9222]	expert_R_range (0.0368, 0.9353)	eps_len 67.12
[2024-07-05 17:32:18,633] 120	T_sample 23.66	T_update 7.42	ETA 16:13:20	expert_R_avg 0.3038 [0.3032,0.3208,0.2309,0.3072,0.9220]	expert_R_range (0.0368, 0.9353)	eps_len 67.50
