[2024-12-01 22:40:14,851] 44	T_sample 17.00	T_update 7.65	ETA 13:23:17	expert_R_avg 0.2763 [0.2532,0.2988,0.1838,0.4074,0.9393]	expert_R_range (0.0448, 0.9084)	eps_len 21.00
[2024-12-01 22:40:39,472] 45	T_sample 17.08	T_update 7.50	ETA 13:20:15	expert_R_avg 0.2725 [0.2492,0.2959,0.1800,0.4017,0.9396]	expert_R_range (0.0440, 0.9132)	eps_len 21.27
[2024-12-01 22:41:04,482] 46	T_sample 17.26	T_update 7.70	ETA 13:32:33	expert_R_avg 0.2746 [0.2514,0.2962,0.1831,0.4021,0.9395]	expert_R_range (0.0416, 0.9214)	eps_len 21.18
[2024-12-01 22:41:29,108] 47	T_sample 16.93	T_update 7.65	ETA 13:19:36	expert_R_avg 0.2753 [0.2487,0.2950,0.1854,0.4078,0.9395]	expert_R_range (0.0417, 0.9154)	eps_len 21.18
[2024-12-01 22:41:54,084] 48	T_sample 17.24	T_update 7.69	ETA 13:30:31	expert_R_avg 0.2719 [0.2474,0.2945,0.1823,0.3928,0.9392]	expert_R_range (0.0419, 0.9228)	eps_len 21.27
[2024-12-01 22:42:18,866] 49	T_sample 17.14	T_update 7.60	ETA 13:23:56	expert_R_avg 0.2702 [0.2477,0.2905,0.1793,0.3922,0.9387]	expert_R_range (0.0416, 0.9111)	eps_len 21.28
[2024-12-01 22:42:44,489] 50	T_sample 17.90	T_update 7.66	ETA 13:50:26	expert_R_avg 0.2695 [0.2474,0.2896,0.1782,0.3918,0.9391]	expert_R_range (0.0418, 0.9127)	eps_len 21.44
[2024-12-01 22:43:09,533] 51	T_sample 17.23	T_update 7.77	ETA 13:31:34	expert_R_avg 0.2785 [0.2532,0.2900,0.1909,0.4065,0.9393]	expert_R_range (0.0427, 0.9129)	eps_len 21.04
[2024-12-01 22:43:34,644] 52	T_sample 17.36	T_update 7.70	ETA 13:33:25	expert_R_avg 0.2636 [0.2418,0.2871,0.1705,0.3863,0.9393]	expert_R_range (0.0427, 0.9094)	eps_len 21.69
[2024-12-01 22:43:59,805] 53	T_sample 17.58	T_update 7.54	ETA 13:34:36	expert_R_avg 0.2730 [0.2449,0.2930,0.1856,0.3975,0.9390]	expert_R_range (0.0422, 0.9122)	eps_len 21.40
[2024-12-01 22:44:24,791] 54	T_sample 17.30	T_update 7.64	ETA 13:28:26	expert_R_avg 0.2660 [0.2424,0.2880,0.1753,0.3865,0.9394]	expert_R_range (0.0382, 0.9116)	eps_len 21.71
[2024-12-01 22:44:49,673] 55	T_sample 17.11	T_update 7.73	ETA 13:24:44	expert_R_avg 0.2724 [0.2457,0.2886,0.1838,0.4016,0.9393]	expert_R_range (0.0420, 0.9098)	eps_len 21.39
[2024-12-01 22:45:14,628] 56	T_sample 17.27	T_update 7.63	ETA 13:26:32	expert_R_avg 0.2680 [0.2435,0.2877,0.1773,0.3954,0.9381]	expert_R_range (0.0397, 0.9112)	eps_len 21.62
[2024-12-01 22:45:39,897] 57	T_sample 17.43	T_update 7.79	ETA 13:36:21	expert_R_avg 0.2640 [0.2412,0.2873,0.1735,0.3791,0.9393]	expert_R_range (0.0406, 0.9054)	eps_len 22.08
[2024-12-01 22:46:05,473] 58	T_sample 17.85	T_update 7.68	ETA 13:45:45	expert_R_avg 0.2713 [0.2458,0.2881,0.1825,0.3969,0.9391]	expert_R_range (0.0390, 0.9121)	eps_len 21.58
[2024-12-01 22:46:30,894] 59	T_sample 17.57	T_update 7.80	ETA 13:40:26	expert_R_avg 0.2658 [0.2424,0.2833,0.1758,0.3875,0.9385]	expert_R_range (0.0378, 0.9160)	eps_len 21.98
[2024-12-01 22:46:55,969] 60	T_sample 17.37	T_update 7.67	ETA 13:28:56	expert_R_avg 0.2685 [0.2421,0.2878,0.1804,0.3892,0.9384]	expert_R_range (0.0402, 0.9166)	eps_len 21.94
[2024-12-01 22:47:20,953] 61	T_sample 17.37	T_update 7.57	ETA 13:25:32	expert_R_avg 0.2670 [0.2418,0.2854,0.1777,0.3906,0.9383]	expert_R_range (0.0398, 0.9187)	eps_len 21.99
[2024-12-01 22:47:45,747] 62	T_sample 17.05	T_update 7.70	ETA 13:18:58	expert_R_avg 0.2671 [0.2420,0.2835,0.1771,0.3957,0.9382]	expert_R_range (0.0407, 0.9204)	eps_len 21.66
[2024-12-01 22:48:10,754] 63	T_sample 17.43	T_update 7.53	ETA 13:25:23	expert_R_avg 0.2700 [0.2448,0.2850,0.1808,0.3981,0.9384]	expert_R_range (0.0399, 0.9121)	eps_len 21.49
[2024-12-01 22:48:35,796] 64	T_sample 17.29	T_update 7.71	ETA 13:26:02	expert_R_avg 0.2725 [0.2442,0.2852,0.1860,0.4003,0.9387]	expert_R_range (0.0420, 0.9138)	eps_len 21.47
[2024-12-01 22:49:00,846] 65	T_sample 17.28	T_update 7.72	ETA 13:25:48	expert_R_avg 0.2720 [0.2462,0.2886,0.1838,0.3969,0.9379]	expert_R_range (0.0411, 0.9197)	eps_len 21.66
[2024-12-01 22:49:25,934] 66	T_sample 17.47	T_update 7.57	ETA 13:26:48	expert_R_avg 0.2669 [0.2440,0.2816,0.1773,0.3887,0.9381]	expert_R_range (0.0395, 0.9113)	eps_len 22.15
[2024-12-01 22:49:50,952] 67	T_sample 17.38	T_update 7.59	ETA 13:23:59	expert_R_avg 0.2677 [0.2430,0.2838,0.1787,0.3905,0.9383]	expert_R_range (0.0416, 0.9133)	eps_len 21.91
[2024-12-01 22:50:16,374] 68	T_sample 17.71	T_update 7.67	ETA 13:36:41	expert_R_avg 0.2617 [0.2383,0.2798,0.1712,0.3833,0.9379]	expert_R_range (0.0409, 0.9282)	eps_len 22.13
[2024-12-01 22:50:41,317] 69	T_sample 17.19	T_update 7.70	ETA 13:20:45	expert_R_avg 0.2654 [0.2402,0.2838,0.1760,0.3888,0.9380]	expert_R_range (0.0381, 0.9211)	eps_len 22.13
[2024-12-01 22:51:06,054] 70	T_sample 17.16	T_update 7.53	ETA 13:13:55	expert_R_avg 0.2652 [0.2425,0.2825,0.1749,0.3856,0.9377]	expert_R_range (0.0406, 0.9117)	eps_len 22.05
[2024-12-01 22:51:31,097] 71	T_sample 17.39	T_update 7.61	ETA 13:23:17	expert_R_avg 0.2701 [0.2457,0.2796,0.1822,0.3955,0.9381]	expert_R_range (0.0404, 0.9160)	eps_len 21.51
[2024-12-01 22:51:56,081] 72	T_sample 17.34	T_update 7.60	ETA 13:20:58	expert_R_avg 0.2655 [0.2407,0.2815,0.1766,0.3878,0.9376]	expert_R_range (0.0401, 0.9157)	eps_len 21.97
[2024-12-01 22:52:21,029] 73	T_sample 17.28	T_update 7.62	ETA 13:19:23	expert_R_avg 0.2677 [0.2447,0.2786,0.1779,0.3946,0.9379]	expert_R_range (0.0415, 0.9078)	eps_len 21.48
[2024-12-01 22:52:45,829] 74	T_sample 17.19	T_update 7.56	ETA 13:14:09	expert_R_avg 0.2668 [0.2417,0.2770,0.1788,0.3922,0.9379]	expert_R_range (0.0398, 0.9200)	eps_len 21.81
[2024-12-01 22:53:10,794] 75	T_sample 17.13	T_update 7.79	ETA 13:19:06	expert_R_avg 0.2639 [0.2416,0.2788,0.1736,0.3855,0.9382]	expert_R_range (0.0412, 0.9132)	eps_len 22.07
[2024-12-01 22:53:37,157] 76	T_sample 18.67	T_update 7.64	ETA 14:03:10	expert_R_avg 0.2643 [0.2398,0.2769,0.1755,0.3876,0.9376]	expert_R_range (0.0399, 0.9151)	eps_len 21.88
[2024-12-01 22:54:02,864] 77	T_sample 18.01	T_update 7.64	ETA 13:41:30	expert_R_avg 0.2656 [0.2393,0.2809,0.1769,0.3928,0.9378]	expert_R_range (0.0374, 0.9158)	eps_len 22.00
[2024-12-01 22:54:28,399] 78	T_sample 17.93	T_update 7.55	ETA 13:35:46	expert_R_avg 0.2658 [0.2426,0.2757,0.1772,0.3885,0.9372]	expert_R_range (0.0390, 0.9062)	eps_len 21.65
[2024-12-01 22:54:53,621] 79	T_sample 17.59	T_update 7.58	ETA 13:25:20	expert_R_avg 0.2632 [0.2380,0.2762,0.1747,0.3864,0.9372]	expert_R_range (0.0389, 0.9114)	eps_len 21.86
[2024-12-01 22:55:17,952] 80	T_sample 16.80	T_update 7.49	ETA 12:56:48	expert_R_avg 0.2658 [0.2433,0.2781,0.1763,0.3880,0.9373]	expert_R_range (0.0404, 0.9148)	eps_len 22.25
[2024-12-01 22:55:42,801] 81	T_sample 17.23	T_update 7.57	ETA 13:12:48	expert_R_avg 0.2643 [0.2413,0.2767,0.1749,0.3871,0.9375]	expert_R_range (0.0394, 0.9159)	eps_len 21.94
