[2024-12-04 00:54:36,502] 77	T_sample 1.29	T_update 0.30	ETA 366 days, 17:57:16	expert_R_avg 0.4249 [0.0000,0.1133,0.0000,0.1133,0.7365]	expert_R_range (0.3556, 0.5277)	eps_len 14.90
[2024-12-04 00:54:38,195] 78	T_sample 1.36	T_update 0.31	ETA 387 days, 12:23:52	expert_R_avg 0.4235 [0.0000,0.1110,0.0000,0.1110,0.7360]	expert_R_range (0.3544, 0.5262)	eps_len 15.27
[2024-12-04 00:54:39,870] 79	T_sample 1.36	T_update 0.30	ETA 383 days, 12:26:18	expert_R_avg 0.4386 [0.0000,0.1413,0.0000,0.1413,0.7359]	expert_R_range (0.3587, 0.5300)	eps_len 15.31
[2024-12-04 00:54:41,456] 80	T_sample 1.27	T_update 0.30	ETA 363 days, 3:46:14	expert_R_avg 0.4346 [0.0000,0.1332,0.0000,0.1332,0.7361]	expert_R_range (0.3555, 0.5265)	eps_len 17.23
[2024-12-04 00:54:43,130] 81	T_sample 1.35	T_update 0.30	ETA 383 days, 4:24:48	expert_R_avg 0.4380 [0.0000,0.1403,0.0000,0.1403,0.7357]	expert_R_range (0.3542, 0.5254)	eps_len 15.71
[2024-12-04 00:54:44,729] 82	T_sample 1.29	T_update 0.30	ETA 366 days, 2:19:02	expert_R_avg 0.4384 [0.0000,0.1409,0.0000,0.1409,0.7359]	expert_R_range (0.3469, 0.5255)	eps_len 15.50
[2024-12-04 00:54:46,431] 83	T_sample 1.37	T_update 0.31	ETA 389 days, 17:37:11	expert_R_avg 0.4346 [0.0000,0.1332,0.0000,0.1333,0.7359]	expert_R_range (0.3522, 0.5266)	eps_len 14.91
[2024-12-04 00:54:48,103] 84	T_sample 1.36	T_update 0.30	ETA 382 days, 21:13:30	expert_R_avg 0.4309 [0.0000,0.1263,0.0000,0.1263,0.7355]	expert_R_range (0.3577, 0.5265)	eps_len 16.43
[2024-12-04 00:54:49,844] 85	T_sample 1.42	T_update 0.30	ETA 398 days, 17:12:56	expert_R_avg 0.4300 [0.0000,0.1244,0.0000,0.1244,0.7355]	expert_R_range (0.3539, 0.5284)	eps_len 15.03
[2024-12-04 00:54:51,450] 86	T_sample 1.29	T_update 0.30	ETA 367 days, 11:42:41	expert_R_avg 0.4262 [0.0000,0.1172,0.0000,0.1172,0.7353]	expert_R_range (0.3554, 0.5270)	eps_len 15.92
[2024-12-04 00:54:53,061] 87	T_sample 1.29	T_update 0.30	ETA 368 days, 7:13:12	expert_R_avg 0.4450 [0.0000,0.1547,0.0000,0.1547,0.7353]	expert_R_range (0.3539, 0.5254)	eps_len 17.08
[2024-12-04 00:54:54,677] 88	T_sample 1.30	T_update 0.30	ETA 369 days, 21:14:50	expert_R_avg 0.4244 [0.0000,0.1139,0.0000,0.1139,0.7350]	expert_R_range (0.3537, 0.5277)	eps_len 15.97
[2024-12-04 00:54:56,305] 89	T_sample 1.31	T_update 0.30	ETA 372 days, 13:55:03	expert_R_avg 0.4344 [0.0000,0.1336,0.0000,0.1336,0.7351]	expert_R_range (0.3544, 0.5279)	eps_len 15.47
[2024-12-04 00:54:57,924] 90	T_sample 1.30	T_update 0.30	ETA 371 days, 1:25:47	expert_R_avg 0.4302 [0.0000,0.1258,0.0000,0.1258,0.7346]	expert_R_range (0.3536, 0.5299)	eps_len 16.05
[2024-12-04 00:54:59,584] 91	T_sample 1.34	T_update 0.30	ETA 380 days, 8:39:16	expert_R_avg 0.4426 [0.0000,0.1506,0.0000,0.1506,0.7346]	expert_R_range (0.3529, 0.5259)	eps_len 15.52
[2024-12-04 00:55:01,219] 92	T_sample 1.32	T_update 0.30	ETA 374 days, 9:38:35	expert_R_avg 0.4302 [0.0000,0.1255,0.0000,0.1255,0.7349]	expert_R_range (0.3550, 0.5264)	eps_len 14.61
[2024-12-04 00:55:02,847] 93	T_sample 1.31	T_update 0.30	ETA 372 days, 23:32:04	expert_R_avg 0.4308 [0.0000,0.1269,0.0000,0.1269,0.7346]	expert_R_range (0.3536, 0.5271)	eps_len 16.28
